[绘夏！烈日？度假村！其三「惊遇！等待众人的将是…？」] 过场动画绘夏！烈日？度假村！其三 惊遇！等待众人的将是···？ （燧石余火） 过场动画
[绘夏！烈日？度假村！其三「惊遇！等待众人的将是…？」] 过场动画绘夏！烈日？度假村！其三 惊遇！等待众人的将是···？  （热舞狂欢） 过场动画
[绘夏！烈日？度假村！其四「收幕！将夏夜染作缤纷！」] 获得娜娜丝梨饼
[绘夏！烈日？度假村！其四「收幕！将夏夜染作缤纷！」] 和朋友们共度了一段愉快的时光…
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] 蒙吕松的场景对话
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] 艾列尔的场景对话
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] 格洛德克的场景对话
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] 卡胡鲁、阿依瓦丁、贝苏琪和乔甘的场景对话
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] 庇兰的场景对话
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] 卡胡鲁的场景对话
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] 阿依瓦丁的场景对话
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] 贝苏琪的场景对话
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] 乔甘的场景对话
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] 你们向蒙吕松一行人讲述了打听到的信息。
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] 茜特菈莉带我们登上了热气球。
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] （...如果茜特菈莉还没有准备好，就先由我来记住茜特菈莉吧。）
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] 艾列尔的场景对话
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] 小爪帮助你们将这面织物搬到了室外。
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] 过场动画流淌着色彩的回忆 第三幕 七彩之战的真相 记忆的颜色 （色彩传承） 过场动画
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] 获得茜特菈莉赠送的手帕，记载着传说的织卷
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] 你向庇兰详细讲述了与那种「色彩」有关的一切，但小心地隐藏了有关茜特菈莉的部分。
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] 卡胡鲁、阿依瓦丁、贝苏琪和乔甘的场景对话
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] 艾列尔详细询问了与维奇琳有关的各种往事，直到茜特菈莉有些生气了才不得不离开。
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] 获得茜特菈莉赠送的手帕和钥匙
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] 你向黑田描述了茜特莅莉想要的绝版书。
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] 获得《转生成为雷电将军，然后天下无敌》第一版、《拜托了我的狐仙宫司》限量精装版
[流淌着色彩的回忆 第三幕 「七彩之战的真相」] 等待至第二天
[花之归尘，羽之将坠 第三幕「枪与翼」] 阿尔帕和伊西多尔的场景对话
[花之归尘，羽之将坠 第三幕「枪与翼」] 科优尔和朱南的场景对话
[花之归尘，羽之将坠 第三幕「枪与翼」] 将伤者安顿好后，穆托塔召集你们进行了会议…
[花之归尘，羽之将坠 第三幕「枪与翼」] 恰斯卡吹响口哨，一头绒翼龙从山后面飞来，在你们面前降落。
[花之归尘，羽之将坠 第三幕「枪与翼」] 恰斯卡比划着向栖木普说明了事情的经过…
[花之归尘，羽之将坠 第三幕「枪与翼」] 伊西多尔准备打开「燃素翼」逃跑，可是「控制球」却出现了异常…
[花之归尘，羽之将坠 第三幕「枪与翼」] 恰斯卡将濒临爆炸的控制球抛向远方…随后海面上响起巨大的爆炸声。
[花之归尘，羽之将坠 第三幕「枪与翼」] 你们将特帕尔的事告知给阿尔帕…
[花之归尘，羽之将坠 第三幕「枪与翼」] 众人各自离开，只留下栖木普与柯娅…
[花之归尘，羽之将坠 第三幕「枪与翼」] 你们尽量简明扼要地说明了事情的经过…
[花之归尘，羽之将坠 第三幕「枪与翼」] 在希诺宁的工坊前稍等了一会…
[花之归尘，羽之将坠 第三幕「枪与翼」] 特帕尔的残缺手记
[花之归尘，羽之将坠 第三幕「枪与翼」] ……
[花之归尘，羽之将坠 第三幕「枪与翼」] …实验失败了。「烬城」奥奇卡纳塔的技术，果然没那么容易复现。
[花之归尘，羽之将坠 第三幕「枪与翼」] 离开「遗物」支持的浮空装置很快就坠落了，是功率还是重量的缘故？
[花之归尘，羽之将坠 第三幕「枪与翼」] 也许现阶段还是得依靠来自烬城的部件。
[花之归尘，羽之将坠 第三幕「枪与翼」] ……
[花之归尘，羽之将坠 第三幕「枪与翼」] 一群该死的庸人！居然质疑我的理想！
[花之归尘，羽之将坠 第三幕「枪与翼」] 只不过是摔了几个工坊罢了！连一点风险都不敢冒的话，还怎么超越前人？
[花之归尘，羽之将坠 第三幕「枪与翼」] 哼…反正「遗物」还在我手上，只要继续研究，总会有进展的…
[花之归尘，羽之将坠 第三幕「枪与翼」] ……
[花之归尘，羽之将坠 第三幕「枪与翼」] 连老爹和普玛也不支持我了…一定是部族里那群庸人挑唆的！
[花之归尘，羽之将坠 第三幕「枪与翼」] 哼，就算地上没有一个人支持又怎么样？我自有我的「门路」…
[花之归尘，羽之将坠 第三幕「枪与翼」] 是时候离开这里了。我的梦想是整片天空。
[花之归尘，羽之将坠 第三幕「枪与翼」] ……
[花之归尘，羽之将坠 第三幕「枪与翼」] 获得特帕尔的残缺手记
[花之归尘，羽之将坠 第三幕「枪与翼」] 希诺宁的场景对话
[花之归尘，羽之将坠 第三幕「枪与翼」] 恰斯卡说明了特帕尔的情况与空中工坊的猜想…
[花之归尘，羽之将坠 第三幕「枪与翼」] 穆托塔和阿尔帕的场景对话
[花之归尘，羽之将坠 第三幕「枪与翼」] 科优尔和朱南的场景对话
[花之归尘，羽之将坠 第三幕「枪与翼」] 瓦斯卡尔和穆基的场景对话
[花之归尘，羽之将坠 第三幕「枪与翼」] 你们匆匆赶到试炼场地，向因卡纳克说明情况…
[花之归尘，羽之将坠 第三幕「枪与翼」] 因卡纳克的场景对话
[花之归尘，羽之将坠 第三幕「枪与翼」] 开始分头翻阅起特帕尔的手记…
[花之归尘，羽之将坠 第三幕「枪与翼」] 你们分头搜寻起来…
[花之归尘，羽之将坠 第三幕「枪与翼」] 趁着「遗物」再次爆鸣，阿尔帕从恰斯卡背后发起袭击…
[花之归尘，羽之将坠 第三幕「枪与翼」] 过场动画枪与翼 第三幕 花之归尘，羽之将坠 （遗物失控） 过场动画
[暝视寻灵织卷·中  「烬寂之视」] 按照计划，茜特裁莉以神秘碎片为媒介,开始了第二次瞑视。
[暝视寻灵织卷·中  「烬寂之视」] 一旁，欧洛伦用灵性织机将她看到的画面誉录在织物上。
[暝视寻灵织卷·中  「烬寂之视」] 很快，一幅画面出现了。
[暝视寻灵织卷·中  「烬寂之视」] 与茜特菈莉交谈
[ 暝视寻灵织卷·下  「阿库乌波蒂尔之灵」] 茜特菈莉召出了一柄名为「厄水之祸」的仪式剑。
[ 暝视寻灵织卷·下  「阿库乌波蒂尔之灵」] 前往巫医马塔拉处
[流淌着色彩的回忆 第二幕「传说中的『色彩』」] 你接受了烟谜主首领的嘱托，决心完成自己被赋予的使命…
[流淌着色彩的回忆 第二幕「传说中的『色彩』」] 一名烟谜主族人取来了用于测试的织物样品。
[流淌着色彩的回忆 第一幕「来自烟谜主的使命」] 偶遇了一只幼年暝视龙之后，某种神秘的存在引导你进入烟谜主的驻地…
[流淌着色彩的回忆 第一幕「来自烟谜主的使命」] 庇兰脱下了身上的羽织，小心地交予一名祭司收存。
[海精之章 第一幕：谎言的温度] 在顾客们的热情抢购中，会场上的存货迅速减少。
[海精之章 第一幕：谎言的温度] 奥利亚克的场景对话
[海精之章 第一幕：谎言的温度] 伊丝翠的场景对话
[海精之章 第一幕：谎言的温度] 阿奈的场景对话
[海精之章 第一幕：谎言的温度] 卡嘉妮的场景对话
[海精之章 第一幕：谎言的温度] 询问希格雯的建议
[海精之章 第一幕：谎言的温度] 收集清单上的材料
[海精之章 第一幕：谎言的温度] 获得浊水幻灵的提取物、浓缩的异海凝珠
[海精之章 第一幕：谎言的温度] 和希格雯交谈
[海精之章 第一幕：谎言的温度] 接诊了十几名病人后，希格雯一天的工作终于迎来尾声。
[海精之章 第一幕：谎言的温度] 将调制好的食材交给韦尔赛
[海精之章 第一幕：谎言的温度] 前往监护室
[海精之章 第一幕：谎言的温度] 在埃里克的配合下，希格雯很快完成了各项检查。
[海精之章 第一幕：谎言的温度] 查看犯人的口供
[海精之章 第一幕：谎言的温度] 获得犯人的口供
[海精之章 第一幕：谎言的温度] 莱欧斯利的场景对话
[海精之章 第一幕：谎言的温度] 莫嘉娜的场景对话
[海精之章 第一幕：谎言的温度] 希娅的场景对话
[海精之章 第一幕：谎言的温度] 「波顿」的场景对话
[海精之章 第一幕：谎言的温度] 「加斯东」的场景对话
[海精之章 第一幕：谎言的温度] 「拉扎尔」的场景对话
[海精之章 第一幕：谎言的温度] 再次与奥德丽对话
[海精之章 第一幕：谎言的温度] 再次与安蒂布对话
[海精之章 第一幕：谎言的温度] 再次与贝尔特朗对话
[海精之章 第一幕：谎言的温度] 双方将收集到的信息相互交流了一番。
[海精之章 第一幕：谎言的温度] 连续几次敲门后，屋内仍旧没有人应答，只传出一阵微弱的呼吸声。
[海精之章 第一幕：谎言的温度] 希娅的场景对话
[海精之章 第一幕：谎言的温度] 拉瓦特的笔记
[海精之章 第一幕：谎言的温度] （日志中记录了进入地下实验室的方法）
[海精之章 第一幕：谎言的温度] 莫嘉娜的场景对话
[海精之章 第一幕：谎言的温度] 希娅的场景对话
[海精之章 第一幕：谎言的温度] 波顿最终也被逐影庭的警员们带走，转眼又是一天之后。
[海精之章 第一幕：谎言的温度] 卡嘉妮的场景对话
[海精之章 第一幕：谎言的温度] 那维莱特好莱欧斯利的场景对话
[海精之章 第一幕：谎言的温度] 过场海精之章 第一幕 谎言的温度 曾经的真相 （掌心温度） 过场动画
[海精之章 第一幕：谎言的温度] 希格雯的场景对话
[流泉所归之处 第三幕 「神秘岛之旅」] 科奥劳离开后，人群逐渐散去。
[流泉所归之处 第三幕 「神秘岛之旅」] 陪同玛拉妮前往乐器店
[流泉所归之处 第三幕 「神秘岛之旅」] 你们在玛拉妮的带领下来到一处山谷前，而成群的鳍游龙聚集在那里，必须小心翼翼地前进…
[流泉所归之处 第三幕 「神秘岛之旅」] 玛拉妮采集了一些汁液，给每个人都穿上了一层气味的伪装。
[流泉所归之处 第三幕 「神秘岛之旅」] 将涂鸦临摹下来之后，玛拉妮带领你们悄悄地原路返回，并将所见所闻告知了等待许久的维兰德和卡嘉。
[流泉所归之处 第三幕 「神秘岛之旅」] 大家登上了旁边的小山丘。
[流泉所归之处 第三幕 「神秘岛之旅」] 在玛拉妮的带领下，你们来到了搭帐篷的地点。
[流泉所归之处 第三幕 「神秘岛之旅」] 你闭上眼睛，回想起最初与她(他)离别的情景。
[流泉所归之处 第三幕 「神秘岛之旅」] 继续前进
[流泉所归之处 第三幕 「神秘岛之旅」] 极不情愿的维兰德被玛拉妮用惊人的力气扔上了冲浪板。
[流泉所归之处 第三幕 「神秘岛之旅」] 逃离地下洞穴
[流泉所归之处 第三幕 「神秘岛之旅」] 大家来到雕像附近。
[流泉所归之处 第二幕 「神秘岛的传说」] 在卡乌鲁的带领下，你们获得了一个又一个「线索」，也支付了一笔又一笔费用。
[流泉所归之处 第二幕 「神秘岛的传说」] 你们快步追上卡乌鲁，却发现他已经被几名「流泉之众」的族人拦住去路。
[流泉所归之处 第一幕 「寻找神秘岛的人」] 落败的鳍游龙四散逃走了。
[ 尤潘基的回火 第二幕「英雄的仪式」] 与此同时，一个隐秘的山洞里。
[ 尤潘基的回火 第一幕「维茨特兰的神秘访客」] 胡妮的场景对话
[香氛瓶之章 第一幕「花债血偿」] 与花卉交互
[香氛瓶之章 第一幕「花债血偿」] 提纳里的场景对话
[香氛瓶之章 第一幕「花债血偿」] 艾德加的场景对话
[香氛瓶之章 第一幕「花债血偿」] 你们匆匆跑出旅馆，门外弥漫着一股独特的香气…
[香氛瓶之章 第一幕「花债血偿」] 艾梅莉埃的场景对话
[香氛瓶之章 第一幕「花债血偿」] 艾梅莉埃与你一起小心翼翼的将艾德加转移至室内…
[香氛瓶之章 第一幕「花债血偿」] 艾梅莉埃的场景对话
[香氛瓶之章 第一幕「花债血偿」] 与席尔万房间或卢西恩房间交互
[香氛瓶之章 第一幕「花债血偿」] 与香水瓶交互
[香氛瓶之章 第一幕「花债血偿」] 与花卉交互
[香氛瓶之章 第一幕「花债血偿」] 你将刚刚发生的事一一说明…
[香氛瓶之章 第一幕「花债血偿」] 场景对话
[香氛瓶之章 第一幕「花债血偿」] 你们冲进走廊，尝试进入卢西恩的房间。房门却丝毫未动…
[香氛瓶之章 第一幕「花债血偿」] 伴随着巨大的破门声，你们进入屋内…
[香氛瓶之章 第一幕「花债血偿」] 片刻之后，治安官夏姆匆匆赶到…
